draft_grade_rank,roster_id,team,manager,my_team,picks_made,haul_value,expected_value_at_slots,market_value_capture,market_execution_grade,expert_implied_haul_value,expert_value_capture,expert_consensus_grade,blended_value_capture,roster_fit_index,league_adjusted_capture,execution_grade,average_market_rank_surplus,average_expert_rank_surplus,expert_steals,expert_reaches,haul
1,6,Final Boss,OldManBacala,False,3,5578,4706,1.185,A,5653,1.201,A,1.194,0.886,1.231,A,-1.0,0.0,1,1,"1.03 Carnell Tate, 3.05 Kaytron Allen, 4.03 Seth McGowan"
2,11,Terry Tate’s Pain Train,mannyrsox24,True,5,9567,8408,1.138,A-,9625,1.145,A-,1.142,0.816,1.171,A,4.0,4.4,3,1,"1.04 Jadarian Price, 1.06 Makai Lemon, 2.12 Mike Washington, 3.06 Ted Hurst, 4.06 Oscar Delp"
3,2,2 Dagos and A Dream ,TGamby,False,3,3586,3424,1.047,B+,4006,1.17,A,1.115,0.879,1.149,A-,0.7,5.7,2,1,"1.08 Denzel Boston, 3.08 Ty Simpson, 4.08 Brenen Thompson"
4,4,Bub’s Club,bubberdubber,False,8,16980,17052,0.996,B,16760,0.983,B,0.989,0.746,1.008,B,-0.1,-2.2,3,3,"1.01 Jeremiyah Love, 1.09 Jonah Coleman, 1.10 Kenyon Sadiq, 2.01 Omar Cooper, 2.10 Caleb Douglas, 3.01 Antonio Williams, 3.11 Malik Benson, 4.01 Bryce Lance"
5,1,Ertz & Krafts 🏆,jccbraves99,False,3,2606,3127,0.833,C,3659,1.17,A,1.019,0.348,1.006,B,-4.7,3.7,1,0,"2.06 Chris Bell, 3.04 Demond Claiborne, 3.12 Max Klare"
6,7,Gridiron geezers,kong58,False,2,2707,2990,0.905,B-,2782,0.93,B-,0.919,1.0,0.956,B-,-2.0,-1.0,0,1,"2.02 Germie Bernard, 2.11 Zachariah Branch"
7,9,Max’s Shadynasty,maxjabb,False,2,1523,1516,1.005,B,1459,0.962,B,0.981,0.102,0.95,B-,0.5,-1.0,1,1,"3.09 Skyler Bell, 3.10 Drew Allar"
8,8,arkinsjt,arkinsjt,False,2,1994,2071,0.963,B,1809,0.873,C+,0.914,0.829,0.938,B-,-2.5,-7.2,0,1,"2.04 Nicholas Singleton, 4.04 Matt Hibner"
9,5,My Nabers Tetties,DRockefeller,False,7,13553,14166,0.957,B-,12498,0.882,C+,0.916,0.562,0.92,B-,1.0,-1.6,2,4,"1.02 Jordyn Tyson, 1.05 KC Concepcion, 1.11 Fernando Mendoza, 2.03 Cyrus Allen, 2.05 Emmett Johnson, 3.02 Eli Stowers, 3.07 Kaelon Black"
10,10,Bijan And The Maye-ssiah,jcflash59,False,5,4937,5866,0.842,C+,5489,0.936,B-,0.893,0.553,0.897,C+,-4.4,-0.9,1,3,"1.07 De'Zhaun Stribling, 2.07 Malachi Fields, 2.08 Elijah Sarratt, 4.02 Eli Heidenreich, 4.07 Justin Joly"
11,3,The Ape,sduda351,False,4,3546,4578,0.775,C,3068,0.67,D+,0.717,0.192,0.699,C-,-7.5,-8.8,0,4,"1.12 Ja'Kobi Lane, 2.09 Adam Randall, 3.03 Eli Raridon, 4.05 Colbie Young"
