pick_no,pick,round,draft_slot,roster_id,team,manager,player,position,nfl_team,market_rookie_rank,expert_consensus_rank,expert_rank_low,expert_rank_high,expert_sources_count,fantasypros_ecr_rank,rotoballer_rank,boone_1qb_rank,draftsharks_rank,market_value,expected_slot_value,value_ratio,rank_surplus,pick_label,expert_implied_value,expert_value_ratio,expert_rank_surplus,expert_pick_label,pre_draft_position_room_rank
1,1.01,1,1,4,Bub’s Club,bubberdubber,Jeremiyah Love,RB,ARI,1,1.0,1,1,4,1,1,1,1,7372,7372,1.0,0,market,7372,1.0,0.0,market,8
2,1.02,1,2,5,My Nabers Tetties,DRockefeller,Jordyn Tyson,WR,NO,3,3.0,3,5,4,3,3,3,5,3272,4181,0.783,-1,reach,3272,0.783,-1.0,reach,6
3,1.03,1,3,6,Final Boss,OldManBacala,Carnell Tate,WR,TEN,2,2.0,2,2,4,2,2,2,2,4181,3272,1.278,1,steal,4181,1.278,1.0,steal,9
4,1.04,1,4,11,Terry Tate’s Pain Train,mannyrsox24,Jadarian Price,RB,SEA,4,5.0,4,5,4,5,5,5,4,3266,3266,1.0,0,market,2972,0.91,-1.0,market,10
5,1.05,1,5,5,My Nabers Tetties,DRockefeller,KC Concepcion,WR,CLE,6,6.0,6,8,4,6,6,6,8,2610,2972,0.878,-1,reach,2610,0.878,-1.0,reach,6
6,1.06,1,6,11,Terry Tate’s Pain Train,mannyrsox24,Makai Lemon,WR,PHI,5,4.0,3,4,4,4,4,4,3,2972,2610,1.139,1,value,3266,1.251,2.0,steal,8
7,1.07,1,7,10,Bijan And The Maye-ssiah,jcflash59,De'Zhaun Stribling,WR,SF,10,13.0,10,14,4,13,14,10,13,2041,2202,0.927,-3,reach,1776,0.807,-6.0,major reach,7
8,1.08,1,8,2,2 Dagos and A Dream ,TGamby,Denzel Boston,WR,CLE,8,10.0,8,10,4,10,10,8,10,2182,2182,1.0,0,market,2041,0.935,-2.0,reach,11
9,1.09,1,9,4,Bub’s Club,bubberdubber,Jonah Coleman,RB,DEN,11,12.0,11,12,3,12,12,11,,1980,2166,0.914,-2,reach,1781,0.822,-3.0,reach,8
10,1.10,1,10,4,Bub’s Club,bubberdubber,Kenyon Sadiq,TE,NYJ,7,8.5,8,12,4,8,8,9,12,2202,2041,1.079,3,value,2182,1.069,1.5,value,5
11,1.11,1,11,5,My Nabers Tetties,DRockefeller,Fernando Mendoza,QB,LV,9,13.0,9,22,4,9,9,17,22,2166,1980,1.094,2,value,1776,0.897,-2.0,reach,6
12,1.12,1,12,3,The Ape,sduda351,Ja'Kobi Lane,WR,BAL,12,22.0,17,29,4,23,29,21,17,1781,1781,1.0,0,market,1298,0.729,-10.0,major reach,3
13,2.01,2,1,4,Bub’s Club,bubberdubber,Omar Cooper,WR,NYJ,13,7.0,7,16,4,7,7,7,16,1776,1776,1.0,0,market,2202,1.24,6.0,steal,10
14,2.02,2,2,7,Gridiron geezers,kong58,Germie Bernard,WR,PIT,22,18.0,15,21,4,16,15,20,21,1298,1740,0.746,-8,major reach,1460,0.839,-4.0,reach,12
15,2.03,2,3,5,My Nabers Tetties,DRockefeller,Cyrus Allen,WR,KC,17,40.0,24,40,3,40,40,24,,1482,1649,0.899,-2,reach,445,0.27,-25.0,major reach,6
16,2.04,2,4,8,arkinsjt,arkinsjt,Nicholas Singleton,RB,TEN,16,15.0,12,19,3,15,19,12,,1626,1626,1.0,0,market,1649,1.014,1.0,market,9
