power_rank,roster_id,team,manager,my_team,window,dynasty_core_rank,redraft_lineup_rank,depth_rank,total_value_rank,youth_rank,strongest_room,weakest_room,qb_room_rank,rb_room_rank,wr_room_rank,te_room_rank,dynasty_core_value,redraft_lineup_value,depth_value,total_roster_value,youth_value_share,2027_firsts,future_picks_3yr
1,12,Bronco Stampede,5FinkleRay,False,contender with staying power,1,1,4,2,5,QB (#1),TE (#10),1,7,1,10,42992,44411,14608,60676,49.3%,0,10
2,10,Bijan And The Maye-ssiah,jcflash59,False,contender with staying power,2,4,1,1,6,QB (#2),WR (#7),2,2,7,3,40712,38031,18560,66963,49.3%,1,10
3,1,Ertz & Krafts 🏆,jccbraves99,False,deep playoff mix,5,3,2,3,12,TE (#2),QB (#8),8,6,6,2,33665,39650,17132,53204,21.8%,1,13
4,3,The Ape,sduda351,False,contender with staying power,3,2,10,4,8,TE (#1),QB (#6),6,5,2,1,39538,41216,10673,52876,47.8%,1,15
5,2,2 Dagos and A Dream ,TGamby,False,middle / needs a direction,4,6,9,5,3,RB (#1),QB (#11),11,1,11,6,37356,31644,10985,49763,66.8%,1,12
6,8,arkinsjt,arkinsjt,False,middle / needs a direction,7,7,6,8,10,QB (#4),TE (#12),4,10,5,12,30331,31632,12824,46118,41.0%,1,11
7,9,Max’s Shadynasty,maxjabb,False,middle / needs a direction,6,8,8,7,11,QB (#3),TE (#11),3,8,4,11,33642,30190,12153,48736,37.8%,1,12
8,7,Gridiron geezers,kong58,False,middle / needs a direction,9,5,12,11,9,RB (#3),WR (#12),10,3,12,9,28766,32112,8055,36902,41.7%,1,10
9,5,My Nabers Tetties,DRockefeller,False,middle / needs a direction,8,10,7,10,2,WR (#3),RB (#12),5,12,3,7,28950,18712,12369,42093,72.5%,2,13
10,11,Terry Tate’s Pain Train,mannyrsox24,True,retool / bubble,10,9,5,9,4,TE (#5),RB (#9),7,9,9,5,28044,25108,13404,43283,53.6%,1,12
11,4,Bub’s Club,bubberdubber,False,retool / bubble,11,11,3,6,1,RB (#4),QB (#12),12,4,10,4,27135,18056,15381,49303,76.2%,1,16
12,6,Final Boss,OldManBacala,False,rebuild,12,12,11,12,7,WR (#8),RB (#11),9,11,8,8,23361,16089,8885,32495,48.9%,1,10
