roster_id,team,manager,player_id,player,position,nfl_team,age,status,dynasty_value,redraft_value,overall_rank,trend_30_day
1,Ertz & Krafts 🏆,jccbraves99,8130,Trey McBride,TE,ARI,26.8,starter,5336,5983,19,-503
1,Ertz & Krafts 🏆,jccbraves99,12514,Emeka Egbuka,WR,TB,23.9,starter,4481,3454,27,-101
1,Ertz & Krafts 🏆,jccbraves99,4866,Saquon Barkley,RB,PHI,29.5,starter,4124,6566,30,-116
1,Ertz & Krafts 🏆,jccbraves99,8144,Chris Olave,WR,NO,26.2,bench,4037,4534,31,328
1,Ertz & Krafts 🏆,jccbraves99,10229,Rashee Rice,WR,KC,26.3,starter,3760,4071,40,171
1,Ertz & Krafts 🏆,jccbraves99,3198,Derrick Henry,RB,BAL,32.6,starter,3341,5695,52,287
1,Ertz & Krafts 🏆,jccbraves99,5850,Josh Jacobs,RB,GB,28.5,starter,3065,4755,59,70
1,Ertz & Krafts 🏆,jccbraves99,8148,Jameson Williams,WR,DET,25.4,starter,2816,2200,67,119
1,Ertz & Krafts 🏆,jccbraves99,11563,Bo Nix,QB,DEN,26.5,bench,2705,1471,71,107
1,Ertz & Krafts 🏆,jccbraves99,4983,DJ Moore,WR,BUF,29.4,bench,2569,2320,74,249
1,Ertz & Krafts 🏆,jccbraves99,6790,D'Andre Swift,RB,CHI,27.6,starter,2542,2816,76,136
1,Ertz & Krafts 🏆,jccbraves99,3294,Dak Prescott,QB,DAL,33.1,starter,2116,1776,88,-70
1,Ertz & Krafts 🏆,jccbraves99,4892,Baker Mayfield,QB,TB,31.4,bench,1732,1055,117,-3
1,Ertz & Krafts 🏆,jccbraves99,5045,Courtland Sutton,WR,DEN,30.9,bench,1629,909,129,67
1,Ertz & Krafts 🏆,jccbraves99,8136,Rachaad White,RB,WAS,27.6,bench,1517,697,140,-188
1,Ertz & Krafts 🏆,jccbraves99,12469,Dylan Sampson,RB,CLE,21.9,bench,1336,62,164,-142
1,Ertz & Krafts 🏆,jccbraves99,5844,T.J. Hockenson,TE,MIN,29.2,bench,1335,198,165,65
1,Ertz & Krafts 🏆,jccbraves99,8205,Isiah Pacheco,RB,DET,27.5,bench,1197,141,183,-185
1,Ertz & Krafts 🏆,jccbraves99,13311,Chris Bell,WR,MIA,22.2,drafted,1159,0,189,-314
1,Ertz & Krafts 🏆,jccbraves99,13347,Demond Claiborne,RB,MIN,22.9,drafted,1036,0,196,-45
1,Ertz & Krafts 🏆,jccbraves99,13278,Max Klare,TE,LAR,23.1,drafted,411,0,268,-238
1,Ertz & Krafts 🏆,jccbraves99,12510,Jalen Milroe,QB,SEA,23.7,taxi,219,0,294,-118
1,Ertz & Krafts 🏆,jccbraves99,8135,Treylon Burks,WR,WAS,26.4,bench,182,0,304,-5
1,Ertz & Krafts 🏆,jccbraves99,8119,Jahan Dotson,WR,ATL,26.4,bench,176,0,306,-17
1,Ertz & Krafts 🏆,jccbraves99,12641,Jaylin Lane,WR,WAS,24.3,taxi,145,0,315,-50
1,Ertz & Krafts 🏆,jccbraves99,11370,Chris Brooks,RB,GB,26.6,bench,140,0,316,-275
1,Ertz & Krafts 🏆,jccbraves99,4147,Samaje Perine,RB,CIN,30.9,bench,98,0,338,-21
1,Ertz & Krafts 🏆,jccbraves99,LAC,Los Angeles Chargers,DEF,LAC,,starter,0,0,,0
1,Ertz & Krafts 🏆,jccbraves99,NYG,New York Giants,DEF,NYG,,bench,0,0,,0
1,Ertz & Krafts 🏆,jccbraves99,PHI,Philadelphia Eagles,DEF,PHI,,bench,0,0,,0
1,Ertz & Krafts 🏆,jccbraves99,11792,Will Reichard,K,MIN,25,starter,0,0,,0
2,2 Dagos and A Dream ,TGamby,9221,Jahmyr Gibbs,RB,DET,24.4,starter,10975,10742,2,519
2,2 Dagos and A Dream ,TGamby,12527,Ashton Jeanty,RB,LV,22.7,starter,7622,7051,6,123
2,2 Dagos and A Dream ,TGamby,6813,Jonathan Taylor,RB,IND,27.6,starter,6102,7907,15,405
2,2 Dagos and A Dream ,TGamby,12506,Harold Fannin,TE,CLE,22.1,starter,2804,1643,68,-35
2,2 Dagos and A Dream ,TGamby,6804,Jordan Love,QB,GB,27.8,starter,2192,945,82,-50
2,2 Dagos and A Dream ,TGamby,13346,Denzel Boston,WR,CLE,22.7,drafted,2182,160,84,250
2,2 Dagos and A Dream ,TGamby,12484,Jayden Higgins,WR,HOU,23.7,IR,1868,292,104,111
2,2 Dagos and A Dream ,TGamby,9754,Quentin Johnston,WR,LAC,25.0,starter,1853,720,105,-124
2,2 Dagos and A Dream ,TGamby,10222,Jayden Reed,WR,GB,26.3,starter,1758,942,111,232
2,2 Dagos and A Dream ,TGamby,10236,Dalton Kincaid,TE,BUF,26.9,starter,1662,450,125,94
2,2 Dagos and A Dream ,TGamby,5967,Tony Pollard,RB,TEN,29.3,starter,1620,1244,132,-169
2,2 Dagos and A Dream ,TGamby,12492,Pat Bryant,WR,DEN,23.7,bench,1418,0,147,476
2,2 Dagos and A Dream ,TGamby,13275,Ty Simpson,QB,LAR,23.7,drafted,1177,0,186,-25
2,2 Dagos and A Dream ,TGamby,9502,Tank Dell,WR,HOU,26.8,bench,1176,57,187,-33
2,2 Dagos and A Dream ,TGamby,11637,Keon Coleman,WR,BUF,23.3,bench,1133,0,193,10
