draft_grade_rank,roster_id,team,manager,my_team,picks_made,haul_value,expected_value_at_slots,market_value_capture,market_execution_grade,expert_implied_haul_value,expert_value_capture,expert_consensus_grade,blended_value_capture,roster_fit_index,league_adjusted_capture,execution_grade,average_market_rank_surplus,average_expert_rank_surplus,expert_steals,expert_reaches,haul
1,6,Final Boss,OldManBacala,False,3,5539,4695,1.18,A,5615,1.196,A,1.189,0.886,1.225,A,-1.3,0.0,1,1,"1.03 Carnell Tate, 3.05 Kaytron Allen, 4.03 Seth McGowan"
2,11,Terry Tate’s Pain Train,mannyrsox24,True,5,9508,8448,1.125,A-,9611,1.138,A-,1.132,0.816,1.161,A,3.4,4.4,3,1,"1.04 Jadarian Price, 1.06 Makai Lemon, 2.12 Mike Washington, 3.06 Ted Hurst, 4.06 Oscar Delp"
3,2,2 Dagos and A Dream ,TGamby,False,3,3631,3436,1.057,B+,3986,1.16,A,1.114,0.88,1.147,A-,1.0,5.7,2,1,"1.08 Denzel Boston, 3.08 Ty Simpson, 4.08 Brenen Thompson"
4,1,Ertz & Krafts 🏆,jccbraves99,False,3,2604,3108,0.838,C,3700,1.19,A,1.032,0.346,1.019,B,-4.3,3.7,1,0,"2.06 Chris Bell, 3.04 Demond Claiborne, 3.12 Max Klare"
5,4,Bub’s Club,bubberdubber,False,9,17278,17346,0.996,B,16944,0.977,B,0.985,0.742,1.005,B,-0.2,-3.0,3,4,"1.01 Jeremiyah Love, 1.09 Jonah Coleman, 1.10 Kenyon Sadiq, 2.01 Omar Cooper, 2.10 Caleb Douglas, 3.01 Antonio Williams, 3.11 Malik Benson, 4.01 Bryce Lance, 4.09 Cade Klubnik"
6,7,Gridiron geezers,kong58,False,2,2719,2948,0.922,B-,2770,0.94,B-,0.932,1.0,0.969,B,-2.0,-1.0,0,1,"2.02 Germie Bernard, 2.11 Zachariah Branch"
7,9,Max’s Shadynasty,maxjabb,False,2,1502,1475,1.018,B,1443,0.978,B,0.996,0.102,0.965,B,0.5,-1.0,1,1,"3.09 Skyler Bell, 3.10 Drew Allar"
8,8,arkinsjt,arkinsjt,False,2,2009,2083,0.964,B,1806,0.867,C+,0.911,0.829,0.935,B-,-2.0,-7.2,0,1,"2.04 Nicholas Singleton, 4.04 Matt Hibner"
9,5,My Nabers Tetties,DRockefeller,False,7,13537,14155,0.956,B-,12478,0.882,C+,0.915,0.563,0.92,B-,1.1,-1.6,2,3,"1.02 Jordyn Tyson, 1.05 KC Concepcion, 1.11 Fernando Mendoza, 2.03 Cyrus Allen, 2.05 Emmett Johnson, 3.02 Eli Stowers, 3.07 Kaelon Black"
10,10,Bijan And The Maye-ssiah,jcflash59,False,5,4913,5888,0.834,C,5488,0.932,B-,0.888,0.553,0.892,C+,-4.4,-0.9,1,3,"1.07 De'Zhaun Stribling, 2.07 Malachi Fields, 2.08 Elijah Sarratt, 4.02 Eli Heidenreich, 4.07 Justin Joly"
11,3,The Ape,sduda351,False,4,3507,4556,0.77,C,3060,0.672,D+,0.716,0.193,0.698,C-,-7.5,-8.8,0,4,"1.12 Ja'Kobi Lane, 2.09 Adam Randall, 3.03 Eli Raridon, 4.05 Colbie Young"
