pick_no,pick,round,draft_slot,roster_id,team,manager,player,position,nfl_team,market_rookie_rank,expert_consensus_rank,expert_rank_low,expert_rank_high,expert_sources_count,fantasypros_ecr_rank,rotoballer_rank,boone_1qb_rank,draftsharks_rank,market_value,expected_slot_value,value_ratio,rank_surplus,pick_label,expert_implied_value,expert_value_ratio,expert_rank_surplus,expert_pick_label,pre_draft_position_room_rank
1,1.01,1,1,4,Bub’s Club,bubberdubber,Jeremiyah Love,RB,ARI,1,1.0,1,1,4,1,1,1,1,7358,7358,1.0,0,market,7358,1.0,0.0,market,8
2,1.02,1,2,5,My Nabers Tetties,DRockefeller,Jordyn Tyson,WR,NO,3,3.0,3,5,4,3,3,3,5,3285,4165,0.789,-1,reach,3285,0.789,-1.0,reach,6
3,1.03,1,3,6,Final Boss,OldManBacala,Carnell Tate,WR,TEN,2,2.0,2,2,4,2,2,2,2,4165,3285,1.268,1,steal,4165,1.268,1.0,steal,9
4,1.04,1,4,11,Terry Tate’s Pain Train,mannyrsox24,Jadarian Price,RB,SEA,4,5.0,4,5,4,5,5,5,4,3260,3260,1.0,0,market,2949,0.905,-1.0,market,10
5,1.05,1,5,5,My Nabers Tetties,DRockefeller,KC Concepcion,WR,CLE,6,6.0,6,8,4,6,6,6,8,2607,2949,0.884,-1,market,2607,0.884,-1.0,market,6
6,1.06,1,6,11,Terry Tate’s Pain Train,mannyrsox24,Makai Lemon,WR,PHI,5,4.0,3,4,4,4,4,4,3,2949,2607,1.131,1,value,3260,1.25,2.0,steal,8
7,1.07,1,7,10,Bijan And The Maye-ssiah,jcflash59,De'Zhaun Stribling,WR,SF,10,13.0,10,14,4,13,14,10,13,2037,2208,0.923,-3,reach,1775,0.804,-6.0,major reach,7
8,1.08,1,8,2,2 Dagos and A Dream ,TGamby,Denzel Boston,WR,CLE,7,10.0,8,10,4,10,10,8,10,2208,2193,1.007,1,market,2037,0.929,-2.0,reach,11
9,1.09,1,9,4,Bub’s Club,bubberdubber,Jonah Coleman,RB,DEN,11,12.0,11,12,3,12,12,11,,1980,2166,0.914,-2,reach,1781,0.822,-3.0,reach,8
10,1.10,1,10,4,Bub’s Club,bubberdubber,Kenyon Sadiq,TE,NYJ,8,8.5,8,12,4,8,8,9,12,2193,2037,1.077,2,value,2193,1.077,1.5,value,5
11,1.11,1,11,5,My Nabers Tetties,DRockefeller,Fernando Mendoza,QB,LV,9,13.0,9,22,4,9,9,17,22,2166,1980,1.094,2,value,1775,0.896,-2.0,reach,6
12,1.12,1,12,3,The Ape,sduda351,Ja'Kobi Lane,WR,BAL,12,22.0,17,29,4,23,29,21,17,1781,1781,1.0,0,market,1309,0.735,-10.0,major reach,3
13,2.01,2,1,4,Bub’s Club,bubberdubber,Omar Cooper,WR,NYJ,13,7.0,7,16,4,7,7,7,16,1775,1775,1.0,0,market,2208,1.244,6.0,steal,10
14,2.02,2,2,7,Gridiron geezers,kong58,Germie Bernard,WR,PIT,22,18.0,15,21,4,16,15,20,21,1309,1740,0.752,-8,major reach,1449,0.833,-4.0,reach,12
15,2.03,2,3,5,My Nabers Tetties,DRockefeller,Cyrus Allen,WR,KC,17,40.0,24,40,3,40,40,24,,1513,1652,0.916,-2,reach,443,0.268,-25.0,major reach,6
16,2.04,2,4,8,arkinsjt,arkinsjt,Nicholas Singleton,RB,TEN,15,15.0,12,19,3,15,19,12,,1652,1640,1.007,1,market,1652,1.007,1.0,market,9
17,2.05,2,5,5,My Nabers Tetties,DRockefeller,Emmett Johnson,RB,KC,23,18.0,17,27,3,18,17,27,,1208,1513,0.798,-6,major reach,1449,0.958,-1.0,market,12
18,2.06,2,6,1,Ertz & Krafts 🏆,jccbraves99,Chris Bell,WR,MIA,25,16.0,15,17,3,17,16,15,,1144,1449,0.79,-7,major reach,1640,1.132,2.0,value,5
19,2.07,2,7,10,Bijan And The Maye-ssiah,jcflash59,Malachi Fields,WR,NYG,20,22.0,18,26,3,22,26,18,,1395,1410,0.989,-1,market,1309,0.928,-3.0,reach,7
20,2.08,2,8,10,Bijan And The Maye-ssiah,jcflash59,Elijah Sarratt,WR,BAL,33,22.5,21,38,4,21,22,38,23,765,1395,0.548,-13,major reach,1309,0.938,-2.5,reach,7
21,2.09,2,9,3,The Ape,sduda351,Adam Randall,RB,BAL,34,35.0,33,37,3,37,33,35,,710,1321,0.537,-13,major reach,646,0.489,-14.0,major reach,4
22,2.10,2,10,4,Bub’s Club,bubberdubber,Caleb Douglas,WR,MIA,21,35.5,18,41,4,38,41,33,18,1321,1309,1.009,1,market,645,0.493,-13.5,major reach,10
23,2.11,2,11,7,Gridiron geezers,kong58,Zachariah Branch,WR,ATL,19,21.0,16,25,3,25,21,16,,1410,1208,1.167,4,value,1321,1.094,2.0,value,12
24,2.12,2,12,11,Terry Tate’s Pain Train,mannyrsox24,Mike Washington,RB,LV,16,26.0,23,26,3,26,23,26,,1640,1204,1.362,8,steal,1040,0.864,-2.0,reach,10
