roster_id,team,manager,player_id,player,position,nfl_team,age,status,dynasty_value,redraft_value,overall_rank,trend_30_day
1,Ertz & Krafts 🏆,jccbraves99,8130,Trey McBride,TE,ARI,26.8,starter,5340,6021,19,-502
1,Ertz & Krafts 🏆,jccbraves99,12514,Emeka Egbuka,WR,TB,23.9,starter,4472,3509,27,-113
1,Ertz & Krafts 🏆,jccbraves99,4866,Saquon Barkley,RB,PHI,29.5,starter,4109,6604,30,-133
1,Ertz & Krafts 🏆,jccbraves99,8144,Chris Olave,WR,NO,26.2,bench,4051,4645,31,340
1,Ertz & Krafts 🏆,jccbraves99,10229,Rashee Rice,WR,KC,26.3,starter,3733,4107,41,142
1,Ertz & Krafts 🏆,jccbraves99,3198,Derrick Henry,RB,BAL,32.6,starter,3351,5712,52,295
1,Ertz & Krafts 🏆,jccbraves99,5850,Josh Jacobs,RB,GB,28.5,starter,3061,4795,59,64
1,Ertz & Krafts 🏆,jccbraves99,8148,Jameson Williams,WR,DET,25.4,starter,2847,2226,67,149
1,Ertz & Krafts 🏆,jccbraves99,11563,Bo Nix,QB,DEN,26.5,bench,2701,1449,71,103
1,Ertz & Krafts 🏆,jccbraves99,6790,D'Andre Swift,RB,CHI,27.6,starter,2589,2851,74,182
1,Ertz & Krafts 🏆,jccbraves99,4983,DJ Moore,WR,BUF,29.4,bench,2571,2405,75,250
1,Ertz & Krafts 🏆,jccbraves99,3294,Dak Prescott,QB,DAL,33.1,starter,2122,1800,87,-66
1,Ertz & Krafts 🏆,jccbraves99,4892,Baker Mayfield,QB,TB,31.4,bench,1736,1027,117,0
1,Ertz & Krafts 🏆,jccbraves99,5045,Courtland Sutton,WR,DEN,30.9,bench,1624,914,131,61
1,Ertz & Krafts 🏆,jccbraves99,8136,Rachaad White,RB,WAS,27.6,bench,1523,706,140,-183
1,Ertz & Krafts 🏆,jccbraves99,12469,Dylan Sampson,RB,CLE,21.9,bench,1339,62,164,-140
1,Ertz & Krafts 🏆,jccbraves99,5844,T.J. Hockenson,TE,MIN,29.2,bench,1331,206,165,60
1,Ertz & Krafts 🏆,jccbraves99,8205,Isiah Pacheco,RB,DET,27.5,bench,1204,140,184,-179
1,Ertz & Krafts 🏆,jccbraves99,13311,Chris Bell,WR,MIA,22.2,drafted,1144,0,191,-317
